station_g_cd,station_name,lon,lat
2100201,浅草,139.797592,35.710733
2800102,田原町,139.790897,35.709897
2800103,稲荷町,139.782593,35.711273
1130220,上野,139.777122,35.711482
1130221,上野広小路,139.772877,35.70768
2800106,末広町,139.771713,35.702972
1130223,神田,139.770899,35.693587
1131402,三越前,139.773594,35.687101
2800109,日本橋,139.773516,35.682078
2800110,京橋,139.770126,35.676856
2800111,銀座,139.763965,35.671989
1130102,新橋,139.758432,35.667434
2800113,虎ノ門,139.749832,35.670236
2800114,溜池山王,139.741419,35.673621
2800115,赤坂見附,139.737047,35.677021
2800116,青山一丁目,139.724159,35.672765
2800117,外苑前,139.717857,35.670527
2800118,表参道,139.712314,35.665247
1130205,渋谷,139.701,35.659066
1130212,池袋,139.711086,35.730256
2800202,新大塚,139.729971,35.72569
2800203,茗荷谷,139.737184,35.716989
2800204,後楽園,139.751864,35.707898
2800205,本郷三丁目,139.759914,35.706671
1131203,御茶ノ水,139.763952,35.700614
1131203,淡路町,139.7675149,35.6953595
2800208,大手町,139.7662,35.686564
1130101,東京,139.764708,35.681753
2800111,銀座,139.763965,35.671989
2800211,霞ケ関,139.750899,35.673838
2800212,国会議事堂前,139.745219,35.67393
2800115,赤坂見附,139.737047,35.677021
1131102,四ツ谷,139.729947,35.684586
2800215,四谷三丁目,139.720103,35.687958
2800216,新宿御苑前,139.71069,35.688588
2800217,新宿三丁目,139.704895,35.690847
1130208,新宿,139.700711,35.69235
2800219,西新宿,139.692778,35.694298
2800220,中野坂上,139.68291,35.69792
2800221,新中野,139.66903,35.697491
2800222,東高円寺,139.657822,35.697802
2800223,新高円寺,139.648068,35.697985
2800224,南阿佐ケ谷,139.63576,35.699624
1131217,荻窪,139.620116,35.704304
2800226,中野新橋,139.673997,35.692123
2800227,中野富士見町,139.666933,35.690514
2800228,方南町,139.656498,35.683496
1132005,北千住,139.804276,35.748916
1132004,南千住,139.799273,35.733398
2800303,三ノ輪,139.791485,35.729623
2800304,入谷,139.783924,35.719862
1130220,上野,139.777122,35.711482
1130221,仲御徒町,139.776138,35.706649
1130222,秋葉原,139.775459,35.698162
2800308,小伝馬町,139.778433,35.690737
2800309,人形町,139.782285,35.686307
2800310,茅場町,139.780005,35.679752
1132602,八丁堀,139.776982,35.674851
2800312,築地,139.772603,35.668115
2800313,東銀座,139.767253,35.669464
2800111,銀座,139.763965,35.671989
1130225,日比谷,139.76017,35.67459
2800211,霞ケ関,139.750899,35.673838
2800113,虎ノ門ヒルズ,139.747778,35.667444
2800317,神谷町,139.745069,35.662978
2800318,六本木,139.731443,35.662836
2800319,広尾,139.722202,35.652279
1130204,恵比寿,139.708988,35.647332
2600103,中目黒,139.698621,35.643854
