station_g_cd,station_name,lon,lat
9930101,都庁前,139.69257,35.690551
9930102,新宿西口,139.699155,35.693315
2801012,東新宿,139.707549,35.69792
9930104,若松河田,139.718184,35.699218
9930105,牛込柳町,139.725027,35.699518
9930106,牛込神楽坂,139.735802,35.700851
1131316,飯田橋,139.744999,35.702927
9930108,春日,139.75325,35.709598
2800205,本郷三丁目,139.760095,35.707462
1130221,上野御徒町,139.774332,35.707893
9930111,新御徒町,139.781958,35.707045
9930112,E蔵前,139.790931,35.703236
1131321,両国,139.797421,35.696881
9930114,森下,139.797042,35.68796
2800811,清澄白河,139.798851,35.682105
2800412,門前仲町,139.796209,35.671851
2800621,月島,139.784233,35.664871
9930118,勝どき,139.776442,35.658507
9930119,築地市場,139.766915,35.664895
9930120,汐留,139.760642,35.663703
9930121,大門,139.75466,35.656785
9930122,赤羽橋,139.743642,35.655007
2800916,麻布十番,139.736116,35.656503
2800318,六本木,139.731567,35.663921
2800116,青山一丁目,139.72396,35.672929
9930126,国立競技場,139.714932,35.679831
1130207,代々木,139.701666,35.683218
1130208,新宿,139.698812,35.68869
9930129,西新宿五丁目,139.684304,35.689798
2800220,中野坂上,139.682279,35.69709
1131308,東中野,139.682987,35.706891
2200704,中井,139.686356,35.714035
9930133,落合南長崎,139.683303,35.723608
9930134,新江古田,139.670653,35.732538
2200106,練馬,139.65477,35.737404
2200402,豊島園,139.64911,35.742067
9930137,練馬春日町,139.640236,35.751452
9930138,光が丘,139.628603,35.758526
9930201,西馬込,139.705942,35.586859
9930202,馬込,139.711772,35.596435
2600404,中延,139.713736,35.605769
2600503,戸越,139.716495,35.614633
1130202,五反田,139.724175,35.627102
9930206,高輪台,139.730305,35.631679
2700101,泉岳寺,139.74002,35.638692
9930208,三田,139.748775,35.64818
1130102,新橋,139.759451,35.665577
2800313,東銀座,139.767253,35.669464
2800110,宝町,139.771767,35.675461
2800109,日本橋,139.775721,35.681688
2800309,人形町,139.782285,35.686307
1131403,東日本橋,139.784821,35.692126
1131320,浅草橋,139.786305,35.697451
9930112,A蔵前,139.790931,35.703236
2100201,浅草,139.79697,35.709461
9930219,本所吾妻橋,139.804624,35.70858
2100203,押上（スカイツリー前）,139.812935,35.710702
1130203,目黒,139.7155,35.633272
2800918,白金台,139.726133,35.637917
2800917,白金高輪,139.734104,35.642903
9930305,芝公園,139.749824,35.654074
9930306,御成門,139.751535,35.661215
9930307,内幸町,139.75561,35.66975
1130225,日比谷,139.759998,35.676036
2800208,大手町,139.762959,35.684856
2800807,神保町,139.75812,35.695492
1131317,水道橋,139.75516,35.703398
9930313,白山,139.752136,35.721408
9930314,千石,139.744792,35.727957
1130214,巣鴨,139.738519,35.733502
9930316,西巣鴨,139.728712,35.743508
9930317,新板橋,139.720101,35.748785
9930318,板橋区役所前,139.710102,35.751284
9930319,板橋本町,139.705535,35.761339
9930320,本蓮沼,139.702324,35.768782
9930321,志村坂上,139.69538,35.775725
9930322,志村三丁目,139.685937,35.777391
9930323,蓮根,139.678993,35.784335
9930324,西台,139.673971,35.78699
9930325,高島平,139.661216,35.789056
9930326,新高島平,139.654275,35.790189
9930327,西高島平,139.64594,35.791833
2800217,新宿三丁目,139.706271,35.690616
9930403,曙橋,139.722881,35.692402
1131315,市ヶ谷,139.737639,35.691556
2800407,九段下,139.751948,35.695589
2800807,神保町,139.757606,35.695966
2800207,小川町,139.766667,35.695056
9930408,岩本町,139.775866,35.695534
1131403,馬喰横山,139.782768,35.69212
9930410,浜町,139.788154,35.688516
9930412,菊川,139.806016,35.688379
2800814,住吉,139.815681,35.689073
9930414,西大島,139.826206,35.689349
9930415,大島,139.83565,35.689905
9930416,東大島,139.845963,35.690355
9930417,船堀,139.864258,35.683795
9930418,一之江,139.882934,35.686055
9930419,瑞江,139.89761,35.693318
9930420,篠崎,139.903698,35.706017
1131328,本八幡,139.926628,35.722929
